行业类型,日期1,有功功率最大值（kw）,有功功率最小值（kw）,最高温度,最低温度,白天风力风向,夜晚风力风向,天气1,天气2
普通工业,2019-06-16,5589.9396,2104.2204,33,26,5,5,7.0,7.0
普通工业,2019-06-17,13938.5556,2345.0688,32,26,1,1,7.0,7.0
普通工业,2019-06-18,13535.6577,5198.1816,33,26,1,1,11.0,3.0
普通工业,2019-06-19,13958.898,5579.5779,35,27,1,1,6.0,3.0
普通工业,2019-06-20,14481.273,5859.7362,35,28,1,1,3.0,3.0
普通工业,2019-06-21,15184.7253,6241.9758,35,28,1,1,7.0,3.0
普通工业,2019-06-22,10947.2406,5901.2322,35,29,1,1,3.0,3.0
普通工业,2019-06-23,10137.1893,5465.6034,34,26,1,1,13.0,14.0
普通工业,2019-06-24,13718.0016,5742.6516,27,25,1,1,13.0,11.0
普通工业,2019-06-25,12636.2199,5112.0618,30,26,1,1,13.0,11.0
普通工业,2019-06-26,12944.3304,5447.8383,31,26,1,1,11.0,6.0
普通工业,2019-06-27,14247.1047,5721.8163,34,27,1,1,7.0,7.0
普通工业,2019-06-28,14893.9902,6271.7877,35,28,1,1,7.0,3.0
普通工业,2019-06-29,9815.5278,5549.3508,36,28,1,1,7.0,3.0
普通工业,2019-06-30,9178.6719,5221.9173,36,28,1,1,7.0,3.0
普通工业,2019-07-01,15137.7468,5765.5056,34,28,1,1,11.0,11.0
普通工业,2019-07-02,15400.0065,6274.008000000002,34,25,1,1,6.0,6.0
普通工业,2019-07-03,13957.386,5906.1867,30,26,1,1,13.0,13.0
普通工业,2019-07-04,14332.785,5692.4940000000015,33,26,1,1,7.0,3.0
普通工业,2019-07-05,14155.6182,5918.1564,34,28,1,1,6.0,3.0
普通工业,2019-07-06,9572.2632,30.024,35,28,1,1,6.0,3.0
普通工业,2019-07-07,10007.2794,5221.0626,35,28,1,1,3.0,3.0
普通工业,2019-07-08,14953.5837,5895.2088,35,28,5,5,7.0,3.0
普通工业,2019-07-09,14621.1768,6465.7677,32,25,1,1,7.0,14.0
普通工业,2019-07-10,12616.2558,5838.8322,30,26,1,1,15.0,7.0
普通工业,2019-07-11,13005.3051,3900.576,30,26,1,1,6.0,6.0
普通工业,2019-07-12,13938.9858,5341.3866,34,27,1,1,7.0,7.0
普通工业,2019-07-13,9342.5913,5050.5039,34,28,1,1,6.0,3.0
普通工业,2019-07-14,9966.867,5193.8874,34,28,1,1,6.0,3.0
普通工业,2019-07-15,13913.8005,5135.3844,35,27,1,1,7.0,3.0
普通工业,2019-07-16,13943.2449,5601.0528,35,28,1,1,3.0,3.0
普通工业,2019-07-17,14323.6809,5743.2117,37,29,1,1,0.0,0.0
普通工业,2019-07-18,13841.2371,5976.7074,37,28,1,1,6.0,6.0
普通工业,2019-07-19,13611.9678,2558.022,36,28,1,1,7.0,6.0
普通工业,2019-07-20,9512.4864,21.48,34,27,1,1,7.0,6.0
普通工业,2019-07-21,8942.9718,19.854,35,27,1,1,7.0,3.0
普通工业,2019-07-22,12211.3662,327.972,33,26,1,1,7.0,3.0
普通工业,2019-07-23,12163.3566,4836.6513,34,26,1,1,7.0,6.0
普通工业,2019-07-24,11922.9072,4917.7875,34,26,1,1,7.0,3.0
普通工业,2019-07-25,11974.3938,5098.503,34,27,1,1,7.0,3.0
普通工业,2019-07-26,12930.459,5357.2374,35,27,1,1,7.0,3.0
普通工业,2019-07-27,10011.8184,5267.5428,36,27,1,1,0.0,3.0
普通工业,2019-07-28,8573.735999999999,4626.8238,35,27,1,1,7.0,3.0
普通工业,2019-07-29,12703.5573,1.704,33,28,1,1,7.0,7.0
普通工业,2019-07-30,12658.2117,4857.4917,33,26,1,1,6.0,6.0
普通工业,2019-07-31,12227.2917,5037.0921,30,26,5,5,11.0,13.0
普通工业,2019-08-01,9823.1718,4558.6515,29,25,5,5,15.0,15.0
普通工业,2019-08-02,10010.4732,4711.6467,29,25,1,1,13.0,6.0
普通工业,2019-08-03,8413.2231,4198.2204,30,25,1,1,,6.0
普通工业,2019-08-04,7644.6333,4182.8523,33,27,1,1,3.0,3.0
普通工业,2019-08-05,11727.8154,4582.5348,35,27,1,1,0.0,3.0
普通工业,2019-08-06,11999.0466,5126.9031,35,28,1,1,6.0,6.0
普通工业,2019-08-07,12919.0302,5066.1876,36,27,1,1,7.0,3.0
普通工业,2019-08-08,12746.4417,5178.6702,37,28,1,1,3.0,3.0
普通工业,2019-08-09,13374.9033,5497.3338,37,28,1,1,0.0,0.0
普通工业,2019-08-10,10093.7628,5660.6226,37,28,1,1,7.0,3.0
普通工业,2019-08-11,9358.9626,5439.3384,35,28,1,1,7.0,6.0
普通工业,2019-08-12,13200.8019,5352.0801,34,27,1,1,7.0,3.0
普通工业,2019-08-13,13193.9745,5642.0055,36,27,1,1,3.0,7.0
普通工业,2019-08-14,12834.4224,5571.2895,35,27,1,1,7.0,7.0
普通工业,2019-08-15,12417.5223,5452.6863,35,26,1,1,7.0,7.0
普通工业,2019-08-16,12801.9504,4946.2971,35,27,1,1,7.0,3.0
普通工业,2019-08-17,9434.3985,4950.1161,32,26,1,1,11.0,11.0
普通工业,2019-08-18,8681.697,4791.9579,30,25,1,1,13.0,7.0
普通工业,2019-08-19,11845.8837,4650.4611,31,25,1,1,7.0,6.0
普通工业,2019-08-20,12258.2592,5028.7578,35,26,1,1,7.0,3.0
普通工业,2019-08-21,12280.7109,5075.2851,35,27,1,1,6.0,3.0
普通工业,2019-08-22,12167.595,5006.7321,35,28,1,1,7.0,3.0
普通工业,2019-08-23,12436.9419,5300.6190000000015,34,27,1,1,3.0,3.0
普通工业,2019-08-24,9324.2589,4891.3668,37,27,1,1,0.0,5.0
普通工业,2019-08-25,8540.8014,5227.5759,33,26,5,5,11.0,11.0
普通工业,2019-08-26,11386.8372,4721.1513,30,25,1,1,13.0,6.0
普通工业,2019-08-27,12230.5056,4913.7138,33,27,1,1,6.0,3.0
普通工业,2019-08-28,13303.1784,5150.4345,36,27,1,1,3.0,3.0
普通工业,2019-08-29,13969.2966,5780.6589,33,26,1,1,7.0,7.0
普通工业,2019-08-30,13417.7418,5274.8607,31,26,1,1,13.0,11.0
普通工业,2019-08-31,9184.2129,4934.508,30,25,1,1,,7.0
普通工业,2019-09-01,9173.6145,4474.3062,33,25,1,1,11.0,11.0
普通工业,2019-09-02,12795.7782,4780.6326,31,25,1,1,13.0,6.0
普通工业,2019-09-03,12253.866000000002,4705.8774,31,24,1,1,7.0,6.0
普通工业,2019-09-04,12417.5556,4968.9054,32,25,5,5,6.0,11.0
普通工业,2019-09-05,13077.1536,5068.6974,32,25,1,1,7.0,3.0
普通工业,2019-09-06,13485.9354,5499.0087,33,26,1,1,6.0,3.0
普通工业,2019-09-07,9309.6156,5144.2758,36,27,1,1,0.0,0.0
普通工业,2019-09-08,8857.0548,5318.2833,35,27,1,1,0.0,3.0
普通工业,2019-09-09,15109.8267,6032.1729,35,26,1,1,7.0,3.0
普通工业,2019-09-10,15031.4298,6575.0718,35,27,1,1,6.0,3.0
普通工业,2019-09-11,15122.3715,6308.4927,35,27,1,1,3.0,0.0
普通工业,2019-09-12,14625.9357,5920.7535,35,26,1,1,0.0,6.0
普通工业,2019-09-13,7436.4618,5083.0092,36,27,1,1,0.0,3.0
普通工业,2019-09-14,8163.3735,4923.1584,34,27,1,1,3.0,7.0
普通工业,2019-09-15,8908.6731,4849.1934,32,26,1,1,7.0,7.0
普通工业,2019-09-16,14182.2717,5873.349,33,25,1,1,7.0,7.0
普通工业,2019-09-17,13876.5753,5902.9521,33,26,1,1,6.0,3.0
普通工业,2019-09-18,14763.3315,5546.8863,34,25,1,1,3.0,7.0
普通工业,2019-09-19,14055.6546,5856.9468,34,24,1,1,0.0,0.0
普通工业,2019-09-20,12357.879,5428.1319,32,23,1,1,0.0,0.0
普通工业,2019-09-21,8105.9778,4724.7615,32,23,1,1,0.0,0.0
普通工业,2019-09-22,7435.5228,4236.7821,31,22,1,1,0.0,0.0
普通工业,2019-09-23,11554.4244,4485.9045,30,21,1,1,0.0,0.0
普通工业,2019-09-24,11844.4641,4568.3985,32,23,1,1,0.0,0.0
普通工业,2019-09-25,11962.1007,4868.4963,32,23,1,1,0.0,0.0
普通工业,2019-09-26,12513.3699,5020.1055,33,23,1,1,0.0,0.0
普通工业,2019-09-27,12083.2839,5167.8669,33,23,1,1,0.0,0.0
普通工业,2019-09-28,9302.2683,5092.9128,33,23,1,1,0.0,0.0
普通工业,2019-09-29,12088.878,5068.3875,33,23,1,1,0.0,0.0
普通工业,2019-09-30,11439.8061,4953.8601,34,22,1,1,0.0,0.0
普通工业,2019-10-01,6923.7417,4447.3191,35,24,1,1,0.0,0.0
普通工业,2019-10-02,7242.0033,4521.6228,34,25,1,1,0.0,0.0
普通工业,2019-10-03,7465.2792,4552.9323,35,26,1,1,0.0,0.0
普通工业,2019-10-04,7520.5485,4654.1841,34,25,1,1,0.0,0.0
普通工业,2019-10-05,8099.7249,4716.1317,34,25,1,1,3.0,3.0
普通工业,2019-10-06,7893.4752,4915.6713,33,23,1,1,11.0,9.0
普通工业,2019-10-07,8133.1413,4528.2228,30,23,1,1,6.0,3.0
普通工业,2019-10-08,12582.2526,5053.7271,32,24,1,1,3.0,3.0
普通工业,2019-10-09,11546.8035,5007.2421,31,23,1,1,8.0,3.0
普通工业,2019-10-10,12185.082,4885.8885,32,25,1,1,3.0,3.0
普通工业,2019-10-11,12883.6179,4610.4603,33,25,1,1,0.0,0.0
普通工业,2019-10-12,12892.7982,5557.0425,33,24,1,1,3.0,7.0
普通工业,2019-10-13,7772.6058,4261.2819,31,23,1,1,7.0,7.0
普通工业,2019-10-14,11615.3631,4942.338,29,23,1,1,3.0,3.0
普通工业,2019-10-15,10784.1555,4551.4497,30,23,1,1,0.0,0.0
普通工业,2019-10-16,10381.3911,4217.7258,31,23,1,1,3.0,0.0
普通工业,2019-10-17,10153.8756,4164.0441,31,21,1,1,0.0,0.0
普通工业,2019-10-18,9318.309,4180.7421,30,20,1,1,0.0,0.0
普通工业,2019-10-19,7217.3691,4108.1352,31,22,1,1,0.0,0.0
普通工业,2019-10-20,7339.0017,4001.8803,30,22,1,1,0.0,0.0
普通工业,2019-10-21,10791.6147,4213.3323,30,21,1,1,0.0,0.0
普通工业,2019-10-22,10892.0517,4201.3407,30,22,1,1,3.0,0.0
普通工业,2019-10-23,11129.7222,4234.6926,30,22,1,1,8.0,8.0
普通工业,2019-10-24,10396.5147,4280.9811,28,22,1,1,5.0,3.0
普通工业,2019-10-25,10162.3869,4367.2956,30,21,1,1,3.0,3.0
普通工业,2019-10-26,7699.2066,4144.2285,28,21,1,1,5.0,5.0
普通工业,2019-10-27,7172.7663,3587.1249,26,20,1,1,5.0,5.0
普通工业,2019-10-28,8522.6814,3698.0415,28,19,1,1,3.0,3.0
普通工业,2019-10-29,8013.6687,3545.8845,27,17,1,1,0.0,0.0
普通工业,2019-10-30,8265.0843,3515.0748,27,17,1,1,3.0,3.0
普通工业,2019-10-31,8114.571,3426.312,28,19,1,1,3.0,3.0
普通工业,2019-11-01,9480.8934,3678.345,28,20,1,1,3.0,3.0
普通工业,2019-11-02,7850.7486,3788.5581,31,23,1,1,3.0,3.0
普通工业,2019-11-03,7928.658,4161.8214,30,20,5,5,3.0,0.0
普通工业,2019-11-04,9209.6121,3725.0574,28,18,1,1,0.0,0.0
普通工业,2019-11-05,8384.8635,3869.3826,27,17,1,1,0.0,0.0
普通工业,2019-11-06,8715.0459,3760.6491,28,18,1,1,0.0,0.0
普通工业,2019-11-07,8221.479,3576.3195,27,17,5,5,0.0,3.0
普通工业,2019-11-08,7865.7894,3482.4807,27,17,5,5,0.0,0.0
普通工业,2019-11-09,6328.3593,931.7736,27,17,1,1,0.0,0.0
普通工业,2019-11-10,5842.6575,3227.163,27,16,1,1,0.0,0.0
普通工业,2019-11-11,7622.8146,3194.0619,29,17,1,1,0.0,0.0
普通工业,2019-11-12,8183.382,3507.9825,28,19,1,1,0.0,0.0
普通工业,2019-11-13,8508.7224,3611.5794,29,16,1,1,0.0,0.0
普通工业,2019-11-14,8078.9439,3317.2785,25,16,1,1,0.0,0.0
普通工业,2019-11-15,8311.9479,3373.533,26,18,1,1,0.0,0.0
普通工业,2019-11-16,6422.6946,3490.8198,29,20,1,1,0.0,0.0
普通工业,2019-11-17,6681.636,3365.3931,27,18,1,1,0.0,0.0
普通工业,2019-11-18,8783.5539,3412.5972,24,14,5,5,3.0,0.0
普通工业,2019-11-19,7567.323,3428.79,22,14,5,5,0.0,0.0
普通工业,2019-11-20,7716.9636,3238.5633,25,15,1,1,0.0,0.0
普通工业,2019-11-21,7814.0037,3221.22,24,17,1,1,0.0,0.0
普通工业,2019-11-22,7555.4007,3412.1943,26,17,1,1,0.0,0.0
普通工业,2019-11-23,5876.7969,3464.6721,28,17,1,1,0.0,0.0
普通工业,2019-11-24,5723.0268,3126.9339,28,17,1,1,0.0,0.0
普通工业,2019-11-25,7912.0797,3069.7542,28,16,5,5,0.0,3.0
普通工业,2019-11-26,7422.1839,3455.6241,24,18,1,1,3.0,3.0
普通工业,2019-11-27,7826.0712,3483.2064,25,15,1,1,3.0,3.0
普通工业,2019-11-28,7832.8290000000015,3410.1975,19,12,5,5,3.0,0.0
普通工业,2019-11-29,7922.3112,3317.1234,21,12,1,1,3.0,3.0
普通工业,2019-11-30,5708.0607,3435.0378,24,13,5,5,3.0,0.0
普通工业,2019-12-01,5681.8497,3188.1153,25,13,5,5,0.0,0.0
普通工业,2019-12-02,7995.1737,1435.0872,17,10,6,6,3.0,0.0
普通工业,2019-12-03,8090.3424,3246.366,19,10,5,5,0.0,0.0
普通工业,2019-12-04,8297.8248,2890.4991,20,11,5,5,0.0,3.0
普通工业,2019-12-05,8245.7619,3256.215,18,13,1,1,3.0,3.0
普通工业,2019-12-06,7717.2909,2902.881,20,9,5,5,0.0,0.0
普通工业,2019-12-07,5687.7666,3383.6211,20,8,1,1,0.0,0.0
普通工业,2019-12-08,5731.5228,3124.5840000000007,21,10,1,1,0.0,0.0
普通工业,2019-12-09,7923.4005,3164.4111,20,10,1,1,3.0,0.0
普通工业,2019-12-10,7789.2087,3276.4077,22,10,1,1,0.0,0.0
普通工业,2019-12-11,7773.5007,3359.0919,23,10,1,1,0.0,0.0
普通工业,2019-12-12,7746.2712,3448.9662,24,12,1,1,0.0,0.0
普通工业,2019-12-13,7755.2928,3263.9970000000008,25,15,1,1,0.0,0.0
普通工业,2019-12-14,5829.5904,3067.6128,25,14,1,1,0.0,3.0
