行业类型,日期1,有功功率最大值（kw）,有功功率最小值（kw）,最高温度,最低温度,白天风力风向,夜晚风力风向,天气1,天气2
商业,2019-02-09,109766.3754,12547.9176,23,16,1,1,5.0,5.0
商业,2019-02-10,108444.777,11775.7344,12,12,1,1,5.0,5.0
商业,2019-02-11,95932.9326,11403.4233,13,8,1,1,8.0,3.0
商业,2019-02-12,116076.3576,12344.4519,20,11,1,1,3.0,3.0
商业,2019-02-13,120128.9499,12264.4032,24,18,1,1,5.0,5.0
商业,2019-02-14,118150.0146,13144.5345,24,17,1,1,5.0,5.0
商业,2019-02-15,121106.1903,13294.7646,25,17,1,1,6.0,6.0
商业,2019-02-16,97871.208,107.754,25,16,1,1,5.0,8.0
商业,2019-02-17,118815.0366,13381.4526,15,12,1,1,8.0,11.0
商业,2019-02-18,121201.2399,12731.1381,15,13,1,1,13.0,13.0
商业,2019-02-19,126526.8057,13241.5239,20,16,1,1,8.0,5.0
商业,2019-02-20,129933.2478,12844.9746,24,18,1,1,6.0,6.0
商业,2019-02-21,128364.4203,14009.2512,24,15,1,1,13.0,8.0
商业,2019-02-22,129221.0187,13333.8735,18,11,1,1,5.0,11.0
商业,2019-02-23,101650.9305,13130.3781,13,11,1,1,8.0,8.0
商业,2019-02-24,123436.9416,13697.5599,13,9,1,1,8.0,5.0
商业,2019-02-25,127607.7036,14173.3458,16,12,1,1,8.0,5.0
商业,2019-02-26,123981.3813,14432.2695,14,11,1,1,8.0,8.0
商业,2019-02-27,122002.7505,14052.2463,22,15,1,1,5.0,5.0
商业,2019-02-28,131648.6976,13640.556,22,15,1,1,5.0,5.0
商业,2019-03-01,129966.5508,13870.4862,25,16,1,1,3.0,3.0
商业,2019-03-02,124583.5788,14074.3806,26,15,1,1,3.0,11.0
商业,2019-03-03,123157.1922,14291.8545,20,13,1,1,8.0,3.0
商业,2019-03-04,126389.0946,13695.3024,22,13,1,1,8.0,8.0
商业,2019-03-05,129378.867,14752.5933,23,15,5,5,7.0,11.0
商业,2019-03-06,127888.5435,14168.0187,19,14,1,1,,
商业,2019-03-07,126580.6263,14260.5111,16,13,1,1,13.0,11.0
商业,2019-03-08,128279.6673,14724.6903,16,13,1,1,6.0,6.0
商业,2019-03-09,125126.4777,14679.3954,17,13,1,1,9.0,9.0
商业,2019-03-10,101836.4091,14720.6247,17,12,1,1,6.0,3.0
商业,2019-03-11,126885.2622,14088.1602,22,14,1,1,3.0,0.0
商业,2019-03-12,131599.578,13925.9013,24,14,1,1,0.0,3.0
商业,2019-03-13,131787.846,14090.0502,25,17,1,1,6.0,11.0
商业,2019-03-14,97983.2742,14503.8879,20,18,1,1,11.0,8.0
商业,2019-03-15,127636.2684,14199.5718,19,14,1,1,8.0,5.0
商业,2019-03-16,131272.6194,14225.6604,22,17,1,1,5.0,5.0
商业,2019-03-17,128162.8707,14851.9662,24,17,1,1,5.0,5.0
商业,2019-03-18,128349.0597,14415.9063,23,17,1,1,8.0,5.0
商业,2019-03-19,131634.0174,14762.7579,27,19,1,1,3.0,3.0
商业,2019-03-20,100264.6233,15181.2531,28,22,1,1,3.0,3.0
商业,2019-03-21,99061.0806,15801.108,29,22,1,1,3.0,6.0
商业,2019-03-22,139229.0709,16616.8476,28,18,1,1,7.0,7.0
商业,2019-03-23,126939.3993,247.872,17,13,1,1,8.0,9.0
商业,2019-03-24,126375.7716,494.886,18,12,1,1,8.0,9.0
商业,2019-03-25,126133.6647,14053.7067,18,14,1,1,8.0,5.0
商业,2019-03-26,134624.6568,13644.8757,26,18,1,1,5.0,5.0
商业,2019-03-27,132445.5462,14459.4603,25,20,1,1,5.0,3.0
商业,2019-03-28,131928.4209,14847.3093,27,21,1,1,3.0,5.0
商业,2019-03-29,64131.6918,15898.8408,26,21,1,1,11.0,9.0
商业,2019-03-30,59707.254,14898.8928,27,20,1,1,3.0,3.0
商业,2019-03-31,101863.9977,15922.5858,26,18,1,1,11.0,6.0
商业,2019-04-01,135463.2822,15099.0639,22,16,1,1,8.0,5.0
商业,2019-04-02,137099.8377,14275.3035,24,17,1,1,5.0,5.0
商业,2019-04-03,133849.92,14716.9167,27,20,1,1,5.0,6.0
商业,2019-04-04,130942.6995,15355.9731,23,17,1,1,6.0,6.0
商业,2019-04-05,128899.5129,13923.6879,27,18,1,1,3.0,3.0
商业,2019-04-06,136927.3401,14279.6475,28,21,1,1,3.0,3.0
商业,2019-04-07,140535.7224,15906.9081,30,22,1,1,3.0,3.0
商业,2019-04-08,153626.4411,16253.2269,31,24,5,5,3.0,3.0
商业,2019-04-09,104300.0571,17310.3255,31,24,1,1,3.0,3.0
商业,2019-04-10,152142.7788,18353.2815,30,22,1,1,7.0,7.0
商业,2019-04-11,145794.7185,18522.9825,30,23,1,1,11.0,11.0
商业,2019-04-12,135032.1489,16450.4154,19,16,1,1,15.0,
商业,2019-04-13,136139.9145,14760.5235,22,17,1,1,6.0,13.0
商业,2019-04-14,133598.6811,16299.6663,25,20,1,1,13.0,6.0
商业,2019-04-15,136749.5313,15082.0413,25,20,1,1,6.0,13.0
商业,2019-04-16,137722.0215,15021.4506,23,19,1,1,,8.0
商业,2019-04-17,138590.8794,15320.7216,27,20,1,1,3.0,3.0
商业,2019-04-18,128075.7282,16914.9987,25,22,1,1,11.0,15.0
商业,2019-04-19,68362.9731,17162.4108,25,22,1,1,15.0,13.0
商业,2019-04-20,107406.405,16080.4644,28,20,1,1,11.0,7.0
商业,2019-04-21,148650.15,16738.3458,27,23,1,1,11.0,6.0
商业,2019-04-22,150376.6302,16404.9525,30,24,1,1,7.0,3.0
商业,2019-04-23,164741.5608,17320.332,30,24,1,1,6.0,3.0
商业,2019-04-24,167568.0681,18908.637,33,25,1,1,3.0,3.0
商业,2019-04-25,169596.2442,19147.0884,32,25,1,1,7.0,5.0
商业,2019-04-26,168113.8419,21073.5612,30,25,1,1,13.0,11.0
商业,2019-04-27,104733.3333,18258.1371,26,22,1,1,8.0,6.0
商业,2019-04-28,150038.6925,17081.2317,27,22,1,1,7.0,6.0
商业,2019-04-29,158208.249,17902.5603,30,23,1,1,6.0,7.0
商业,2019-04-30,149321.1495,18274.6503,27,21,1,1,15.0,6.0
商业,2019-05-01,141691.5687,15677.1966,27,19,1,1,3.0,3.0
商业,2019-05-02,133687.0182,16218.1377,25,20,1,1,6.0,3.0
商业,2019-05-03,138470.5119,15561.8223,26,20,1,1,3.0,3.0
商业,2019-05-04,56793.0054,15597.2751,25,21,1,1,8.0,8.0
商业,2019-05-05,140385.7881,14539.3866,22,18,5,5,13.0,13.0
商业,2019-05-06,138456.8181,14935.7247,23,19,1,1,11.0,11.0
商业,2019-05-07,126512.2509,14871.5124,23,19,1,1,6.0,11.0
商业,2019-05-08,136547.3247,15169.6452,22,19,1,1,13.0,11.0
商业,2019-05-09,143360.2917,15031.1586,24,20,1,1,5.0,5.0
商业,2019-05-10,147381.6258,15079.0704,29,23,1,1,3.0,3.0
商业,2019-05-11,156550.0809,16980.4971,32,24,1,1,3.0,3.0
商业,2019-05-12,151319.6733,17802.3813,32,23,1,1,3.0,3.0
商业,2019-05-13,167649.8331,17955.6765,33,25,1,1,3.0,3.0
商业,2019-05-14,167794.6302,19181.4528,32,26,1,1,3.0,3.0
商业,2019-05-15,111121.1556,19596.1068,32,26,1,1,7.0,3.0
商业,2019-05-16,146644.0359,20154.4131,33,26,1,1,7.0,3.0
商业,2019-05-17,113518.3836,21843.7515,34,27,1,1,7.0,6.0
商业,2019-05-18,109756.6476,22857.5958,35,27,1,1,7.0,6.0
商业,2019-05-19,176467.329,24033.4539,35,24,1,1,7.0,11.0
商业,2019-05-20,111161.2371,23158.2477,31,24,1,1,11.0,6.0
商业,2019-05-21,138708.8952,20722.8402,31,24,1,1,5.0,6.0
商业,2019-05-22,142193.235,19777.6911,29,24,1,1,11.0,13.0
商业,2019-05-23,177281.0664,19547.6904,29,23,1,1,6.0,13.0
商业,2019-05-24,159080.2221,18324.6558,29,24,1,1,,11.0
商业,2019-05-25,164665.1436,19510.866,31,25,1,1,11.0,11.0
商业,2019-05-26,169631.6043,20049.5739,30,24,1,1,11.0,13.0
商业,2019-05-27,117192.0888,19349.9604,29,24,1,1,15.0,13.0
商业,2019-05-28,151404.4158,19944.8796,29,24,1,1,11.0,14.0
商业,2019-05-29,166124.8605,18553.6626,27,24,1,1,15.0,13.0
商业,2019-05-30,171880.9542,17858.0091,29,24,1,1,13.0,13.0
商业,2019-05-31,159580.7148,18009.0867,29,25,1,1,11.0,6.0
商业,2019-06-01,119677.2609,18195.9183,30,25,1,1,13.0,13.0
商业,2019-06-02,161184.438,18890.1171,31,25,1,1,13.0,11.0
商业,2019-06-03,109320.4458,19102.6524,31,25,1,1,7.0,11.0
商业,2019-06-04,185290.0419,19203.9279,34,26,1,1,7.0,7.0
商业,2019-06-05,188134.8753,19824.5103,33,26,1,1,7.0,3.0
商业,2019-06-06,196901.2986,20170.9191,35,26,1,1,7.0,3.0
商业,2019-06-07,153204.6207,21294.9871,35,28,1,1,7.0,3.0
商业,2019-06-08,185017.5696,1088.844,35,28,1,1,6.0,3.0
商业,2019-06-09,155375.8197,1365.168,35,27,1,1,7.0,7.0
商业,2019-06-10,174109.7712,158.16,33,24,1,1,7.0,13.0
商业,2019-06-11,191734.1022,291.5448,29,25,1,1,,11.0
商业,2019-06-12,116096.8041,19493.3325,30,24,1,1,13.0,13.0
商业,2019-06-13,103885.5021,20055.3063,31,25,1,1,15.0,6.0
商业,2019-06-14,37249.5201,6398.4654,33,25,1,1,0.0,3.0
商业,2019-06-15,2113.44,237.3,35,25,1,1,3.0,3.0
商业,2019-06-16,59653.1094,230.82,33,26,5,5,7.0,7.0
商业,2019-06-17,101630.1357,12438.2598,32,26,1,1,7.0,7.0
商业,2019-06-18,106441.0137,17475.2196,33,26,1,1,11.0,3.0
商业,2019-06-19,102704.8752,20683.3737,35,27,1,1,6.0,3.0
商业,2019-06-20,111533.688,21968.1159,35,28,1,1,3.0,3.0
商业,2019-06-21,116015.2626,22338.5511,35,28,1,1,7.0,3.0
商业,2019-06-22,112319.934,23174.4228,35,29,1,1,3.0,3.0
商业,2019-06-23,99398.9916,24642.3057,34,26,1,1,13.0,14.0
商业,2019-06-24,100850.0685,21774.3504,27,25,1,1,13.0,11.0
商业,2019-06-25,101072.2077,19781.4627,30,26,1,1,13.0,11.0
商业,2019-06-26,97201.9776,20479.9236,31,26,1,1,11.0,6.0
商业,2019-06-27,112316.7342,21463.4259,34,27,1,1,7.0,7.0
商业,2019-06-28,212684.9424,22843.4952,35,28,1,1,7.0,3.0
商业,2019-06-29,207363.72,24935.8431,36,28,1,1,7.0,3.0
商业,2019-06-30,140023.6479,25590.5616,36,28,1,1,7.0,3.0
商业,2019-07-01,218628.3732,24245.0145,34,28,1,1,11.0,11.0
商业,2019-07-02,147545.9898,24899.8974,34,25,1,1,6.0,6.0
商业,2019-07-03,195205.0446,23336.7957,30,26,1,1,13.0,13.0
商业,2019-07-04,208990.1583,22137.4443,33,26,1,1,7.0,3.0
商业,2019-07-05,207232.6596,23611.1835,34,28,1,1,6.0,3.0
商业,2019-07-06,198149.2452,1171.83,35,28,1,1,6.0,3.0
商业,2019-07-07,194503.6266,25375.2117,35,28,1,1,3.0,3.0
商业,2019-07-08,216178.5564,24756.6804,35,28,5,5,7.0,3.0
商业,2019-07-09,128279.9631,26120.5923,32,25,1,1,7.0,14.0
商业,2019-07-10,198958.7013,23759.7069,30,26,1,1,15.0,7.0
商业,2019-07-11,204189.5184,22100.9622,30,26,1,1,6.0,6.0
商业,2019-07-12,179791.3659,19394.0367,34,27,1,1,7.0,7.0
商业,2019-07-13,113051.6664,23751.9462,34,28,1,1,6.0,3.0
商业,2019-07-14,191152.0938,24736.5456,34,28,1,1,6.0,3.0
商业,2019-07-15,212575.332,23567.1402,35,27,1,1,7.0,3.0
商业,2019-07-16,215616.4878,24431.3202,35,28,1,1,3.0,3.0
商业,2019-07-17,222572.8377,25108.0692,37,29,1,1,0.0,0.0
商业,2019-07-18,217870.4877,26756.0823,37,28,1,1,6.0,6.0
商业,2019-07-19,217911.4755,11844.6033,36,28,1,1,7.0,6.0
商业,2019-07-20,209173.2141,1560.4920000000004,34,27,1,1,7.0,6.0
商业,2019-07-21,183716.1918,386.7480000000001,35,27,1,1,7.0,3.0
商业,2019-07-22,201778.8225,4491.918,33,26,1,1,7.0,3.0
商业,2019-07-23,206513.5194,22377.9948,34,26,1,1,7.0,6.0
商业,2019-07-24,201119.6388,22992.7476,34,26,1,1,7.0,3.0
商业,2019-07-25,210141.2271,20062.4259,34,27,1,1,7.0,3.0
商业,2019-07-26,178119.0888,24063.393,35,27,1,1,7.0,3.0
商业,2019-07-27,214472.4825,24604.6299,36,27,1,1,0.0,3.0
商业,2019-07-28,186956.6607,24001.5438,35,27,1,1,7.0,3.0
商业,2019-07-29,209153.6136,1283.526,33,28,1,1,7.0,7.0
商业,2019-07-30,203237.58,22712.8422,33,26,1,1,6.0,6.0
商业,2019-07-31,210207.3513,23322.8544,30,26,5,5,11.0,13.0
商业,2019-08-01,196333.1676,21653.8047,29,25,5,5,15.0,15.0
商业,2019-08-02,184813.2381,20837.8782,29,25,1,1,13.0,6.0
商业,2019-08-03,187186.5786,20217.5658,30,25,1,1,,6.0
商业,2019-08-04,191000.5329,21430.5222,33,27,1,1,3.0,3.0
商业,2019-08-05,191295.1512,21934.8585,35,27,1,1,0.0,3.0
商业,2019-08-06,210690.5259,24188.3835,35,28,1,1,6.0,6.0
商业,2019-08-07,221374.0542,23482.1487,36,27,1,1,7.0,3.0
商业,2019-08-08,213207.1632,23864.313,37,28,1,1,3.0,3.0
商业,2019-08-09,143689.4832,25708.7907,37,28,1,1,0.0,0.0
商业,2019-08-10,131453.22,27288.7617,37,28,1,1,7.0,3.0
商业,2019-08-11,201974.8467,27294.6771,35,28,1,1,7.0,6.0
商业,2019-08-12,221941.2129,25745.4624,34,27,1,1,7.0,3.0
商业,2019-08-13,224047.0911,27211.6902,36,27,1,1,3.0,7.0
商业,2019-08-14,234647.736,25907.8752,35,27,1,1,7.0,7.0
商业,2019-08-15,221690.6274,25542.4047,35,26,1,1,7.0,7.0
商业,2019-08-16,194516.2524,24526.2459,35,27,1,1,7.0,3.0
商业,2019-08-17,202880.6937,24876.8883,32,26,1,1,11.0,11.0
商业,2019-08-18,198880.2981,24327.9054,30,25,1,1,13.0,7.0
商业,2019-08-19,126838.8663,22347.255,31,25,1,1,7.0,6.0
商业,2019-08-20,220506.9624,23398.1172,35,26,1,1,7.0,3.0
商业,2019-08-21,215021.9871,23627.8614,35,27,1,1,6.0,3.0
商业,2019-08-22,213696.6828,23283.1944,35,28,1,1,7.0,3.0
商业,2019-08-23,208850.412,24286.6626,34,27,1,1,3.0,3.0
商业,2019-08-24,211308.42,22838.124,37,27,1,1,0.0,5.0
商业,2019-08-25,184546.6926,25754.3379,33,26,5,5,11.0,11.0
商业,2019-08-26,206901.4497,21769.2837,30,25,1,1,13.0,6.0
商业,2019-08-27,133758.2862,22190.4348,33,27,1,1,6.0,3.0
商业,2019-08-28,146451.2451,23228.1819,36,27,1,1,3.0,3.0
商业,2019-08-29,207835.968,24752.2473,33,26,1,1,7.0,7.0
商业,2019-08-30,198886.4085,23399.0775,31,26,1,1,13.0,11.0
商业,2019-08-31,204170.0166,23135.5935,30,25,1,1,,7.0
商业,2019-09-01,185495.9445,22186.3419,33,25,1,1,11.0,11.0
商业,2019-09-02,194435.6673,20770.8312,31,25,1,1,13.0,6.0
商业,2019-09-03,203736.375,19969.1076,31,24,1,1,7.0,6.0
商业,2019-09-04,148219.8414,20779.8087,32,25,5,5,6.0,11.0
商业,2019-09-05,105483.8646,20896.7664,32,25,1,1,7.0,3.0
商业,2019-09-06,218542.8264,21757.7595,33,26,1,1,6.0,3.0
商业,2019-09-07,216696.4725,23238.4167,36,27,1,1,0.0,0.0
商业,2019-09-08,193061.9706,25216.4466,35,27,1,1,0.0,3.0
商业,2019-09-09,219661.2768,23778.5127,35,26,1,1,7.0,3.0
商业,2019-09-10,167341.4793,24664.5663,35,27,1,1,6.0,3.0
商业,2019-09-11,228862.8528,24642.2514,35,27,1,1,3.0,0.0
商业,2019-09-12,222600.0045,23456.5749,35,26,1,1,0.0,6.0
商业,2019-09-13,190137.5694,24525.7173,36,27,1,1,0.0,3.0
商业,2019-09-14,202920.051,23443.5024,34,27,1,1,3.0,7.0
商业,2019-09-15,204165.1716,22623.9048,32,26,1,1,7.0,7.0
商业,2019-09-16,195923.6796,22802.1663,33,25,1,1,7.0,7.0
商业,2019-09-17,105820.3332,22732.1082,33,26,1,1,6.0,3.0
商业,2019-09-18,194754.3678,21016.5855,34,25,1,1,3.0,7.0
商业,2019-09-19,206661.1914,22307.7255,34,24,1,1,0.0,0.0
商业,2019-09-20,209882.6661,21297.4077,32,23,1,1,0.0,0.0
商业,2019-09-21,196645.5198,20395.0776,32,23,1,1,0.0,0.0
商业,2019-09-22,180302.3169,19846.3728,31,22,1,1,0.0,0.0
商业,2019-09-23,194035.2387,18642.8703,30,21,1,1,0.0,0.0
商业,2019-09-24,201493.5309,19116.9285,32,23,1,1,0.0,0.0
商业,2019-09-25,197957.922,19672.8624,32,23,1,1,0.0,0.0
商业,2019-09-26,137943.3801,19951.3089,33,23,1,1,0.0,0.0
商业,2019-09-27,203412.081,20252.0805,33,23,1,1,0.0,0.0
商业,2019-09-28,201806.016,19366.1721,33,23,1,1,0.0,0.0
商业,2019-09-29,148627.5117,20075.8413,33,23,1,1,0.0,0.0
商业,2019-09-30,96959.1336,20064.1308,34,22,1,1,0.0,0.0
商业,2019-10-01,166700.3223,20714.6943,35,24,1,1,0.0,0.0
商业,2019-10-02,193933.7466,21507.1167,34,25,1,1,0.0,0.0
商业,2019-10-03,192026.5227,21763.0068,35,26,1,1,0.0,0.0
商业,2019-10-04,201226.1475,21688.0233,34,25,1,1,0.0,0.0
商业,2019-10-05,137309.5884,22280.7012,34,25,1,1,3.0,3.0
商业,2019-10-06,136419.3552,22187.5314,33,23,1,1,11.0,9.0
商业,2019-10-07,193828.7601,20505.0858,30,23,1,1,6.0,3.0
商业,2019-10-08,204959.3712,20027.2395,32,24,1,1,3.0,3.0
商业,2019-10-09,210697.6161,19835.784,31,23,1,1,8.0,3.0
商业,2019-10-10,192039.9429,20132.5179,32,25,1,1,3.0,3.0
商业,2019-10-11,209020.6644,19092.0165,33,25,1,1,0.0,0.0
商业,2019-10-12,212524.3536,21692.5305,33,24,1,1,3.0,7.0
商业,2019-10-13,183299.3544,20190.588,31,23,1,1,7.0,7.0
商业,2019-10-14,96388.2387,20536.4574,29,23,1,1,3.0,3.0
商业,2019-10-15,89926.8675,19708.8615,30,23,1,1,0.0,0.0
商业,2019-10-16,140068.2522,19126.8219,31,23,1,1,3.0,0.0
商业,2019-10-17,191839.0506,18416.8839,31,21,1,1,0.0,0.0
商业,2019-10-18,197533.2387,18452.7762,30,20,1,1,0.0,0.0
商业,2019-10-19,138041.1372,17839.992,31,22,1,1,0.0,0.0
商业,2019-10-20,158642.5653,19052.3214,30,22,1,1,0.0,0.0
商业,2019-10-21,193980.7785,18384.6438,30,21,1,1,0.0,0.0
商业,2019-10-22,199984.4343,17929.3686,30,22,1,1,3.0,0.0
商业,2019-10-23,191311.7697,18133.3107,30,22,1,1,8.0,8.0
商业,2019-10-24,193335.5475,18054.798,28,22,1,1,5.0,3.0
商业,2019-10-25,82139.9274,17388.3975,30,21,1,1,3.0,3.0
商业,2019-10-26,183687.6759,18454.0188,28,21,1,1,5.0,5.0
商业,2019-10-27,178539.1194,17011.3473,26,20,1,1,5.0,5.0
商业,2019-10-28,187204.1082,14915.5047,28,19,1,1,3.0,3.0
商业,2019-10-29,178093.9161,15190.8963,27,17,1,1,0.0,0.0
商业,2019-10-30,173398.0104,15166.6857,27,17,1,1,3.0,3.0
商业,2019-10-31,177330.6423,15295.3557,28,19,1,1,3.0,3.0
商业,2019-11-01,176692.8519,15487.0401,28,20,1,1,3.0,3.0
商业,2019-11-02,189342.9966,16998.6282,31,23,1,1,3.0,3.0
商业,2019-11-03,181129.5261,17740.3746,30,20,5,5,3.0,0.0
商业,2019-11-04,70070.6298,16383.5901,28,18,1,1,0.0,0.0
商业,2019-11-05,65930.1504,16224.279,27,17,1,1,0.0,0.0
商业,2019-11-06,65585.4732,15869.0097,28,18,1,1,0.0,0.0
商业,2019-11-07,65215.5933,15856.3362,27,17,5,5,0.0,3.0
商业,2019-11-08,62995.0596,15606.249,27,17,5,5,0.0,0.0
商业,2019-11-09,62352.5616,9613.6755,27,17,1,1,0.0,0.0
商业,2019-11-10,57348.6819,15889.9386,27,16,1,1,0.0,0.0
商业,2019-11-11,66133.4937,15337.2696,29,17,1,1,0.0,0.0
商业,2019-11-12,67530.0288,15826.1931,28,19,1,1,0.0,0.0
商业,2019-11-13,70302.9936,16369.1718,29,16,1,1,0.0,0.0
商业,2019-11-14,63129.1671,15561.7299,25,16,1,1,0.0,0.0
商业,2019-11-15,65364.4779,15368.2725,26,18,1,1,0.0,0.0
商业,2019-11-16,63574.4826,15908.8908,29,20,1,1,0.0,0.0
商业,2019-11-17,60860.0694,16257.9165,27,18,1,1,0.0,0.0
商业,2019-11-18,68463.234,16040.6745,24,14,5,5,3.0,0.0
商业,2019-11-19,57261.35400000001,14865.1062,22,14,5,5,0.0,0.0
商业,2019-11-20,56954.0478,14761.317,25,15,1,1,0.0,0.0
商业,2019-11-21,58376.5824,14833.9584,24,17,1,1,0.0,0.0
商业,2019-11-22,60867.5271,14608.1016,26,17,1,1,0.0,0.0
商业,2019-11-23,61099.1169,15208.11,28,17,1,1,0.0,0.0
商业,2019-11-24,59465.238,15737.018999999998,28,17,1,1,0.0,0.0
商业,2019-11-25,63332.1873,15339.6057,28,16,5,5,0.0,3.0
商业,2019-11-26,58085.8359,14944.2405,24,18,1,1,3.0,3.0
商业,2019-11-27,62647.1613,15150.7536,25,15,1,1,3.0,3.0
商业,2019-11-28,55711.0395,14945.8005,19,12,5,5,3.0,0.0
商业,2019-11-29,53707.3839,14203.4193,21,12,1,1,3.0,3.0
商业,2019-11-30,54210.168,14245.6389,24,13,5,5,3.0,0.0
商业,2019-12-01,52115.988,14551.4697,25,13,5,5,0.0,0.0
商业,2019-12-02,53759.4186,6070.2264,17,10,6,6,3.0,0.0
商业,2019-12-03,54131.514,14154.7842,19,10,5,5,0.0,0.0
商业,2019-12-04,53620.431,13922.5665,20,11,5,5,0.0,3.0
商业,2019-12-05,54047.4459,14327.7636,18,13,1,1,3.0,3.0
商业,2019-12-06,52909.5627,14368.9836,20,9,5,5,0.0,0.0
商业,2019-12-07,53118.1689,14565.7296,20,8,1,1,0.0,0.0
商业,2019-12-08,48969.5199,14877.9804,21,10,1,1,0.0,0.0
商业,2019-12-09,53543.2116,14254.203,20,10,1,1,3.0,0.0
商业,2019-12-10,54136.8513,13121.8461,22,10,1,1,0.0,0.0
商业,2019-12-11,54281.5545,14184.1164,23,10,1,1,0.0,0.0
商业,2019-12-12,54504.4443,12649.164,24,12,1,1,0.0,0.0
商业,2019-12-13,56408.8995,14215.7181,25,15,1,1,0.0,0.0
商业,2019-12-14,55213.3473,14404.6965,25,14,1,1,0.0,3.0
商业,2019-12-15,52281.3639,14495.4816,26,15,1,1,3.0,3.0
商业,2019-12-16,56859.9279,14047.3611,25,19,1,1,5.0,5.0
商业,2019-12-17,59041.5195,14718.4083,26,19,1,1,3.0,3.0
商业,2019-12-18,62246.7093,15231.2631,27,16,1,1,3.0,8.0
商业,2019-12-19,55817.3751,15130.2381,15,13,5,5,5.0,5.0
商业,2019-12-20,53634.2043,14649.5781,20,13,1,1,5.0,3.0
商业,2019-12-21,52737.732,14527.9836,19,13,1,1,5.0,5.0
商业,2019-12-22,50562.1605,14792.0622,22,16,1,1,5.0,3.0
商业,2019-12-23,53979.3291,13838.2635,23,15,1,1,3.0,8.0
商业,2019-12-24,56109.8052,14710.1973,24,18,1,1,5.0,3.0
商业,2019-12-25,56019.9303,14773.7415,22,16,1,1,3.0,3.0
商业,2019-12-26,56376.3843,14831.8944,22,11,5,5,0.0,3.0
商业,2019-12-27,53659.5711,14449.6176,18,10,1,1,0.0,0.0
商业,2019-12-28,52431.0216,14767.6056,21,12,1,1,3.0,5.0
商业,2019-12-29,50745.9747,14674.0056,18,15,1,1,8.0,5.0
商业,2019-12-30,55649.8908,14260.8093,22,14,1,1,6.0,3.0
商业,2019-12-31,56485.4622,14514.8688,22,14,1,1,3.0,0.0
商业,2020-01-01,51547.1733,15192.6777,21,14,1,1,5.0,3.0
商业,2020-01-02,54662.4333,14327.0793,23,15,1,1,3.0,0.0
